outcome,outs,on_third,num_pitches,is_hitters_count,is_pitchers_count,pickoffs_to_first,pitchouts,pitches_run_on,pitcher_throws_left,batter_bats_left,p_sb_rate_2017,p_pickoff_rate_2018,p_fastball_rate_2018,r_sb_rate_2017,r_sprint_speed_2018,c_sb_rate_2017,c_pop_2b_sba_2018
FAILURE,0,False,5,False,False,2,0,1,False,False,,0.016129032258064516,0.4951635191156149,,29.1,,2.05
FAILURE,1,False,0,False,False,0,0,1,True,False,0.875,0.03333333333333333,0.5803324099722992,0.6666666666666666,27.3,,2.0
SUCCESS,1,False,2,False,False,0,0,1,False,False,0.8823529411764706,0.0,0.5963149078726968,0.75,27.1,0.73,2.0
SUCCESS,1,False,4,False,True,0,0,1,False,True,0.6666666666666666,0.0,0.7713546160483176,,28.1,0.65,2.02
SUCCESS,0,False,3,False,False,0,0,1,True,False,0.75,0.0,0.48877805486284287,0.3333333333333333,27.2,0.65,2.02
SUCCESS,2,False,2,False,False,0,0,1,True,False,0.42857142857142855,0.013333333333333334,0.5386969829470922,0.4444444444444444,27.2,,1.99
SUCCESS,2,False,2,False,False,1,0,1,True,True,1.0,0.0,0.5536609829488466,1.0,27.5,0.5800000000000001,2.07
FAILURE,2,False,3,False,False,0,0,1,False,True,,0.0,0.6551724137931034,0.6,27.0,0.6799999999999999,2.04
FAILURE,1,False,2,False,False,0,0,1,True,True,0.42857142857142855,0.013333333333333334,0.5386969829470922,0.875,28.0,0.69,1.98
SUCCESS,2,False,4,False,True,1,0,2,False,True,1.0,0.0,0.6625641025641026,0.75,28.7,0.69,1.98
FAILURE,2,False,1,False,False,1,0,1,False,False,0.38461538461538464,0.0,0.48785803237858033,0.9166666666666666,28.5,0.5800000000000001,2.07
SUCCESS,1,False,2,False,False,1,0,1,False,False,1.0,0.0,0.5726290516206483,0.8709677419354839,29.0,0.63,1.94
SUCCESS,2,False,3,False,True,0,0,0,False,True,1.0,0.0,0.5438829787234043,,25.6,,1.99
FAILURE,2,False,3,False,True,0,0,0,False,False,1.0,0.0,0.5438829787234043,0.0,27.5,,1.99
FAILURE,1,False,3,False,True,2,0,0,True,False,0.5,0.07692307692307693,0.5660592255125285,0.5,29.2,,1.99
FAILURE,1,False,1,False,False,0,0,1,False,False,,0.0,0.715438950554995,0.9,28.3,0.63,1.94
FAILURE,1,False,4,False,True,1,0,0,False,False,1.0,0.0,0.48359486447931527,0.7222222222222222,28.2,0.63,1.94
SUCCESS,1,True,1,False,False,1,0,0,True,False,,0.04395604395604396,0.6116774791473587,0.7222222222222222,28.2,0.63,1.94
SUCCESS,1,False,0,False,False,0,0,1,True,False,,0.04395604395604396,0.6116774791473587,1.0,27.2,0.63,1.94
FAILURE,2,False,0,False,False,0,0,1,False,True,0.75,0.024390243902439025,0.4062031015507754,0.7222222222222222,28.2,0.6799999999999999,2.04
SUCCESS,2,True,1,False,False,0,0,1,False,False,,0.0625,0.4792079207920792,0.7222222222222222,28.2,0.6799999999999999,2.04
SUCCESS,1,False,3,False,False,3,0,1,False,False,1.0,0.0196078431372549,0.9412795793163892,0.8709677419354839,29.0,0.6799999999999999,2.04
SUCCESS,2,False,0,False,False,0,0,1,False,True,1.0,0.0196078431372549,0.9412795793163892,0.8709677419354839,29.0,0.6799999999999999,2.04
SUCCESS,0,False,2,False,True,1,0,1,False,True,1.0,0.0,0.5537525354969574,,,0.5800000000000001,2.07
SUCCESS,1,False,6,False,True,1,0,1,False,True,0.9090909090909091,0.0,0.41494845360824745,1.0,27.2,0.6699999999999999,2.09
SUCCESS,2,False,0,False,False,0,0,1,False,True,0.6363636363636364,0.009615384615384616,0.6129141311697093,,23.2,0.6,1.98
FAILURE,1,False,4,False,True,3,0,2,False,True,0.5,0.017543859649122806,0.8267074413863404,0.8709677419354839,29.0,0.6,1.98
SUCCESS,2,False,1,False,False,2,0,1,True,False,1.0,0.0,0.885483870967742,0.6923076923076923,28.2,0.6,1.98
FAILURE,0,True,3,False,False,1,0,0,True,False,1.0,0.04081632653061224,0.7268475210477081,0.8,27.6,,1.99
SUCCESS,0,False,0,False,False,0,0,1,False,True,1.0,0.0,0.5438829787234043,0.8205128205128205,30.1,0.69,1.98
SUCCESS,2,True,1,False,False,1,0,1,False,False,,0.0,0.7475083056478405,0.7222222222222222,28.2,0.6,1.98
SUCCESS,2,True,3,False,True,1,0,0,True,False,0.5,0.0,0.48504137492043287,0.7272727272727273,27.7,,1.99
SUCCESS,1,True,4,False,True,2,0,2,False,False,0.5,0.05,0.45454545454545453,0.9333333333333333,28.6,,1.99
SUCCESS,2,True,0,False,False,2,0,1,False,False,0.5,0.05,0.45454545454545453,0.9545454545454546,28.6,,1.99
SUCCESS,0,False,4,False,True,0,0,0,False,True,,0.0,0.6813271604938271,0.9545454545454546,28.6,0.69,1.98
SUCCESS,2,False,1,False,False,0,0,1,False,False,0.6666666666666666,0.0,0.636,0.8709677419354839,29.0,0.83,2.04
SUCCESS,0,True,5,False,True,0,0,1,False,False,0.6666666666666666,0.0,0.7701238390092879,0.8709677419354839,29.0,0.56,2.03
FAILURE,2,True,3,False,False,0,0,1,False,False,0.6666666666666666,0.0,0.7701238390092879,1.0,26.8,0.56,2.03
SUCCESS,1,False,2,False,True,1,0,1,True,True,0.5,0.0,0.48504137492043287,0.7692307692307693,28.8,,1.99
FAILURE,0,False,6,False,False,2,0,1,True,False,,0.07317073170731707,0.5886575735821967,0.8709677419354839,29.0,0.6799999999999999,1.9
FAILURE,2,False,3,False,True,0,0,1,True,True,1.0,0.0,0.8114008489993936,0.7058823529411765,26.8,0.7,1.98
FAILURE,2,False,0,False,False,1,0,0,True,False,0.6,0.03333333333333333,0.5099806825499034,0.6666666666666666,28.2,0.79,2.03
FAILURE,0,False,1,False,False,1,0,0,False,False,1.0,0.0,0.5438829787234043,1.0,26.0,0.69,1.98
SUCCESS,1,False,1,False,False,0,0,1,False,False,0.6666666666666666,0.0,0.4804964539007092,0.8709677419354839,29.0,0.81,2.07
FAILURE,2,False,6,False,True,3,0,1,False,False,0.6666666666666666,0.0,0.4804964539007092,0.7142857142857143,26.0,0.81,2.07
SUCCESS,1,False,1,False,False,0,0,1,True,False,0.5,0.0,0.48504137492043287,1.0,28.5,,1.99
SUCCESS,2,False,2,True,False,1,0,1,False,False,,0.0,0.5354545454545454,0.8636363636363636,27.5,0.69,1.98
SUCCESS,1,False,4,False,True,2,0,1,True,False,0.75,0.038461538461538464,0.5677441540577717,0.8709677419354839,29.0,0.71,2.04
SUCCESS,1,True,2,False,False,1,0,1,True,False,0.75,0.038461538461538464,0.5677441540577717,0.8709677419354839,29.0,0.71,2.04
SUCCESS,2,False,1,False,False,0,0,1,False,True,1.0,0.0,0.5537525354969574,,28.0,,1.99
SUCCESS,2,True,3,False,True,0,0,0,False,False,0.0,0.024390243902439025,0.5589485890993429,0.7142857142857143,26.0,0.64,2.05
SUCCESS,0,False,0,False,False,0,0,1,False,False,0.5714285714285714,0.0,0.5897435897435898,0.6666666666666666,30.1,0.5800000000000001,2.07
FAILURE,2,False,1,False,False,1,0,0,True,False,0.5,0.07692307692307693,0.5660592255125285,0.8571428571428571,26.8,,1.99
SUCCESS,2,False,1,False,False,0,0,1,False,True,0.5714285714285714,0.0,0.5897435897435898,1.0,29.0,,1.99
SUCCESS,1,False,4,False,True,0,0,1,False,False,1.0,0.0,0.5438829787234043,,25.6,,1.99
SUCCESS,2,False,5,False,True,2,0,0,False,True,0.8333333333333334,0.0,0.8534704370179949,0.6923076923076923,28.2,0.63,1.94
