last_name, first_name,player_id,year,r_total_caught_stealing,r_total_stolen_base,r_caught_stealing_2b,r_caught_stealing_3b,r_caught_stealing_home,r_pickoff_1b,r_pickoff_2b,r_pickoff_3b,r_stolen_base_2b,r_stolen_base_3b,r_stolen_base_home,r_total_pickoff,n_bolts,hp_to_1b,sprint_speed,
Eibner, Brett,518649,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,27.7,
Freeman, Freddie,518692,2017,5,8,5,0,0,2,0,0,8,0,0,2,,4.43,26.5,
Fryer, Eric,518700,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.31,27.9,
Grandal, Yasmani,518735,2017,1,0,1,0,0,0,0,0,0,0,0,0,,4.86,24.0,
Harvey, Matt,518774,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,20.9,
Heyward, Jason,518792,2017,4,4,3,1,0,0,1,0,4,0,0,1,,4.34,27.0,
Kozma, Pete,518902,2017,1,0,1,0,0,0,0,0,0,0,0,0,,,27.7,
LeMahieu, DJ,518934,2017,5,6,5,0,0,0,0,0,4,2,0,0,,4.5,27.1,
Lucroy, Jonathan,518960,2017,0,1,0,0,0,0,0,0,1,0,0,0,,4.69,25.1,
Mesoraco, Devin,519023,2017,0,1,0,0,0,0,0,0,1,0,0,0,,4.51,25.7,
Middlebrooks, Will,519025,2017,0,0,0,0,0,0,1,0,0,0,0,1,,,27.3,
Moncrief, Carlos,519037,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,27.0,
Moore, Matt,519043,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,23.4,
Moreland, Mitch,519048,2017,1,0,1,0,0,0,0,0,0,0,0,0,,4.36,25.6,
Moustakas, Mike,519058,2017,0,0,0,0,0,0,1,0,0,0,0,1,,4.81,23.8,
Navarro, Efren,519068,2017,1,0,1,0,0,0,0,0,0,0,0,0,,,25.0,
Nelson, Jimmy,519076,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.66,24.1,
Norris, Derek,519083,2017,0,1,0,0,0,0,0,0,1,0,0,0,,4.43,27.1,
Revere, Ben,519184,2017,6,21,6,0,0,0,0,0,18,3,0,0,5,4.23,27.6,
Rizzo, Anthony,519203,2017,4,10,2,2,0,1,1,0,7,3,0,2,,4.58,25.7,
